ID,location,temperature,air_quality_index,wind_speed,humidity,precipitation
DAE100AA-6F88-8BBC-2F9A-7BB245968D66,Cairns,34°C,32,4km/h,No,8mm
1936E1D2-108C-0528-65DF-6F4674CD9EC2,Cairns,29°C,42,6km/h,Yes,12mm
6047624F-148F-48DF-22B1-C49DF80226ED,Melbourne,32°C,24,7km/h,No,8mm
049995E8-90C1-77BB-99E9-1C94DCFA614C,Adelaide,30°C,45,7km/h,Yes,5mm
FF2DB463-5F18-2DB2-325D-1CAA6A84811E,Sydney,34°C,17,4km/h,No,3mm
3B9F9E79-7D60-97AF-1A8A-AB9C52B01F0A,Perth,35°C,56,5km/h,No,3mm
192ACCD9-808B-4263-A162-C6AEFE208173,Sydney,29°C,52,7km/h,Yes,13mm
F37F7DDA-02AA-8901-9809-499232B88FB3,Darwin,29°C,24,7km/h,Yes,12mm
93312DA4-257A-24ED-3E31-91AD03AA7B99,Cairns,34°C,51,3km/h,No,4mm
845E1153-9907-7A29-7A09-07CABA5F2452,Melbourne,34°C,26,5km/h,No,4mm
BEBB6B4F-58E4-0DBE-A414-0B0D46C027A8,Sydney,36°C,15,5km/h,No,5mm
49BA26C3-30A7-284E-2F57-FEF3092D9D95,Melbourne,34°C,36,5km/h,No,4mm
66625E89-7AF9-53DC-01D8-7B923BC318E6,Melbourne,35°C,51,4km/h,No,4mm
D8B6E294-98E0-3C39-6997-6909CA332051,Sydney,28°C,22,3km/h,Yes,11mm
85DC52D6-47C1-7C1E-30CF-7714811C0B67,Perth,30°C,35,6km/h,Yes,15mm
689C4011-2868-7D49-9501-F6FE78E22B9A,Cairns,32°C,54,6km/h,No,5mm
76472725-A03D-063B-4BD1-ECE186956F51,Darwin,35°C,32,7km/h,No,3mm
83B4EA68-2062-5813-9C01-A0BE42EB3C20,Adelaide,35°C,15,7km/h,No,5mm
FDF7A70B-3493-088F-797D-0FAE349C7151,Cairns,32°C,27,3km/h,Yes,7mm
DA105B4F-52EA-2A72-5B1A-2F5FF73435B5,Darwin,31°C,12,6km/h,Yes,7mm
9292B9ED-70D9-6905-8EAB-381D24E811F5,Cairns,31°C,14,5km/h,No,7mm
98691757-0C56-2BE9-496A-C12E31AF4E71,Sydney,36°C,25,6km/h,No,5mm
F3F203DC-9BDD-41FC-910A-068C04C937C6,Darwin,31°C,13,4km/h,No,6mm
A79CB9CE-57EE-0218-7854-25E3965A7B2C,Darwin,36°C,47,6km/h,No,5mm
72145DB4-61D9-A5E0-538F-A5224A300578,Sydney,29°C,51,3km/h,Yes,14mm
F55E9C5A-1AF0-23B2-8F3A-7B386D023C42,Melbourne,36°C,19,6km/h,No,5mm
1CE0846B-8ACF-69DF-768E-E28BA9268653,Darwin,34°C,7,4km/h,Yes,9mm
7B53A1E0-15B6-3F24-7407-4E09298BA2BA,Adelaide,28°C,15,6km/h,Yes,10mm
DAD9EA80-0414-0DB7-50E1-40601389A2D3,Darwin,36°C,31,3km/h,No,3mm
F5D5C415-758F-498F-0A36-53607A872DA8,Adelaide,27°C,25,3km/h,Yes,13mm
E56C3354-5BB8-9A43-7789-F725442E16EF,Melbourne,30°C,13,5km/h,Yes,6mm
CEB1F177-66E6-8550-4E3B-DA8EA3BF62D7,Cairns,34°C,25,4km/h,No,5mm
C6CEFB08-85A6-7BDA-1C23-6A5BB499653F,Perth,28°C,48,7km/h,Yes,15mm
624956F5-1706-43A3-3137-DC6732772447,Melbourne,34°C,11,6km/h,No,5mm
74D068E3-36FA-3F3B-878D-4D7E6E902BAF,Perth,33°C,15,4km/h,Yes,9mm
3B342D61-066F-2F7F-281E-0BD5810E47AE,Darwin,36°C,35,4km/h,No,3mm
35F49867-720F-782B-5637-C96FFA9F66F1,Perth,34°C,47,3km/h,No,5mm
1F23EE60-851A-7754-9E49-D4BAAF4D056C,Melbourne,35°C,24,5km/h,No,4mm
F9A01AEC-17AA-4088-5213-4DA62963063E,Cairns,36°C,56,4km/h,No,3mm
6DC3ABDD-5DD9-3AEC-12DA-7D2EF4538FC6,Sydney,36°C,27,6km/h,No,4mm
BAF9A484-4CAD-1911-0834-DFBAB9E30C53,Sydney,35°C,55,4km/h,No,4mm
45F8DA00-35E1-A247-58C6-39EC969B1115,Adelaide,30°C,51,5km/h,Yes,15mm
384C01E9-098D-905A-8252-397FA91B955F,Darwin,35°C,59,3km/h,No,5mm
EAD7A2AC-89A1-88AA-2F1E-A39BEA3C103A,Sydney,30°C,26,6km/h,No,9mm
A0B349D5-327D-3A85-7F85-8FD2572C9DCF,Cairns,30°C,31,3km/h,No,7mm
3AA6DC61-8A02-3CB6-0B27-5EDB60BB65FD,Darwin,35°C,7,7km/h,No,3mm
37BF8008-7416-5D68-734F-AE78A4D92CB8,Melbourne,29°C,22,4km/h,Yes,14mm
0980EAB0-9BD4-783A-A246-755246F44590,Sydney,36°C,21,5km/h,No,5mm
4A5D3A5B-7163-4829-9C43-DDE98AEB5C9D,Adelaide,34°C,45,5km/h,Yes,9mm
443EDB49-2252-42A6-642E-A10AD8FB18D4,Adelaide,34°C,14,5km/h,Yes,9mm
84F14A98-9825-1EB0-6AC2-3161CEF520B8,Darwin,34°C,44,3km/h,Yes,6mm
B91E087B-3858-9705-8FD9-BB82F0AA5C22,Sydney,31°C,34,6km/h,No,5mm
50625CCC-96C4-2F36-3AFF-AFCE49B42645,Cairns,30°C,33,5km/h,Yes,9mm
FBCF20EA-5DEF-594A-95D9-CA6AFD724041,Melbourne,34°C,45,6km/h,No,4mm
16016A89-1A8A-4404-8BB4-6105B6E72393,Cairns,27°C,12,6km/h,Yes,12mm
56605482-0F57-3D72-2630-FDE200DD063C,Adelaide,35°C,57,6km/h,No,5mm
DDAB4CE0-4913-166F-1C6A-EFA85B0F8718,Melbourne,32°C,27,4km/h,No,5mm
BF03F55D-358E-2793-3E0D-1572E57E8191,Adelaide,29°C,26,5km/h,Yes,12mm
7D135038-1CA2-676A-1A60-86B6BCAE0857,Adelaide,34°C,60,6km/h,Yes,5mm
6C22890A-0692-073E-6892-2752E15B9F88,Perth,35°C,53,6km/h,No,3mm
D02ADA9C-3059-A1E8-44BC-03C3E60C8EAB,Adelaide,34°C,15,4km/h,No,4mm
99026E61-7F5F-0B0B-41DE-A453FE813807,Adelaide,29°C,39,4km/h,Yes,10mm
54A9C633-6C41-601E-1732-BD5DE3117CBD,Melbourne,27°C,40,3km/h,Yes,13mm
E3DB19AF-19D4-5C8F-6D85-70B944B60B80,Sydney,30°C,9,5km/h,Yes,5mm
A7039C4E-2B4B-6FAC-53AD-1567EF042A62,Sydney,28°C,12,7km/h,Yes,13mm
F7F85A6C-4B02-92DD-04D8-ABD3A1D16E98,Perth,27°C,44,7km/h,Yes,11mm
77842B47-451A-A009-3263-514425E21B09,Sydney,28°C,10,5km/h,Yes,11mm
CB2D1766-0BB9-2A79-92B1-81DBD92E3877,Darwin,34°C,22,3km/h,No,4mm
4BEBF091-1628-513B-3383-89694DCA4D87,Melbourne,36°C,60,5km/h,No,4mm
BC8D2CB0-1935-31B6-23CF-E08517BB6153,Cairns,34°C,11,7km/h,Yes,7mm
32B2FE73-8529-3BBB-4CE7-5D12F0E00D46,Darwin,29°C,28,5km/h,Yes,14mm
