Region,Species,Population,Species Category,Behavior,Habitat Preference,Trophic Level,Water Temperature (°C),Nutrient Levels
Western Reef,Fish,33,Invasive,Solitary,Shallow,Herbivore,25.33490250391673,0.3065365160241572
Southern Reef,Crab,15,Invasive,Solitary,Deep,Carnivore,21.734393544629892,0.42133089608988383
Eastern Reef,Jellyfish,8,Invasive,Schooling,Deep,Carnivore,25.429248649073145,0.713816089863386
Eastern Reef,Crab,78,Invasive,Schooling,Deep,Carnivore,27.366580040608206,0.3431831653339673
Western Reef,Fish,61,Endemic,Schooling,Deep,Herbivore,23.642493520152986,0.34998985219332496
Western Reef,Jellyfish,19,Endemic,Aggressive,Deep,Herbivore,20.520412836486333,0.5075043123116874
Southern Reef,Coral,73,Endemic,Solitary,Shallow,Omnivore,27.302908038553355,0.1307705507439687
Southern Reef,Coral,74,Endemic,Aggressive,Reef Crest,Omnivore,28.570298244919144,0.29196132803333646
Western Reef,Coral,48,Endemic,Aggressive,Reef Crest,Herbivore,20.432313577956208,0.3471355131949257
Southern Reef,Coral,36,Invasive,Aggressive,Shallow,Omnivore,20.859337458172774,0.2404052510282523
Southern Reef,Jellyfish,80,Invasive,Solitary,Deep,Omnivore,26.856132498546316,0.7400644608084547
Northern Reef,Fish,93,Invasive,Solitary,Shallow,Omnivore,24.330391860594997,0.6979070659397633
Eastern Reef,Crab,21,Invasive,Schooling,Reef Crest,Carnivore,24.546060019169293,0.5868716652788213
Eastern Reef,Coral,70,Endemic,Aggressive,Deep,Herbivore,23.67469779310472,0.35139214266400076
Western Reef,Fish,26,Invasive,Schooling,Deep,Omnivore,21.93527418331611,0.23446445172842437
Eastern Reef,Coral,56,Invasive,Schooling,Shallow,Omnivore,27.155898017561643,0.4279731755585239
Western Reef,Coral,71,Endemic,Aggressive,Reef Crest,Herbivore,22.225078898124835,0.15767821790723735
Northern Reef,Coral,52,Endemic,Aggressive,Reef Crest,Omnivore,25.52697326333522,0.896931033848676
Western Reef,Fish,52,Invasive,Solitary,Deep,Carnivore,28.368040886153793,0.2443228663989638
Northern Reef,Jellyfish,8,Invasive,Solitary,Shallow,Herbivore,29.630465596780947,0.41329033569354423
Eastern Reef,Fish,33,Endemic,Schooling,Deep,Omnivore,20.433178055078173,0.6259222624162795
Eastern Reef,Coral,27,Endemic,Schooling,Deep,Herbivore,23.955926303428612,0.8576287853935333
Western Reef,Crab,37,Endemic,Solitary,Shallow,Omnivore,21.95630935841688,0.2842273558649663
Northern Reef,Jellyfish,23,Endemic,Schooling,Deep,Omnivore,28.80671096922474,0.7524899865250669
Southern Reef,Coral,50,Endemic,Aggressive,Deep,Carnivore,22.28891293303707,0.6172680001553685
Western Reef,Crab,95,Endemic,Aggressive,Reef Crest,Omnivore,21.801094060390216,0.15368113782951065
Northern Reef,Crab,42,Invasive,Schooling,Shallow,Herbivore,25.439012587817373,0.5217901982557088
Eastern Reef,Jellyfish,28,Invasive,Schooling,Reef Crest,Carnivore,26.794256098874563,0.13274651774169427
Northern Reef,Fish,62,Invasive,Schooling,Deep,Omnivore,24.95716106113301,0.25221373565282534
Southern Reef,Crab,86,Endemic,Solitary,Deep,Herbivore,21.94179408658307,0.8974896290491038
Northern Reef,Crab,6,Invasive,Schooling,Reef Crest,Carnivore,26.408667250942305,0.7816076747947619
Southern Reef,Jellyfish,84,Invasive,Solitary,Deep,Omnivore,23.18684383674268,0.4416104621152924
Western Reef,Crab,99,Endemic,Schooling,Deep,Omnivore,29.251766840811392,0.20602786987301525
Northern Reef,Jellyfish,93,Invasive,Schooling,Deep,Herbivore,26.168506561152427,0.2139309609799634
Western Reef,Coral,26,Invasive,Aggressive,Deep,Omnivore,22.246534678736413,0.18858322098485214
Western Reef,Fish,40,Invasive,Aggressive,Shallow,Herbivore,20.646984631947916,0.2234626091490971
Western Reef,Coral,2,Endemic,Schooling,Deep,Herbivore,28.699143135510653,0.17340733005935594
Western Reef,Coral,21,Invasive,Solitary,Deep,Herbivore,28.568217063459052,0.2322780658875102
Western Reef,Coral,50,Endemic,Schooling,Deep,Herbivore,21.64470636342644,0.23837875907234035
Western Reef,Crab,47,Endemic,Schooling,Shallow,Herbivore,27.49088129117561,0.415262975999913
Western Reef,Jellyfish,38,Endemic,Aggressive,Reef Crest,Carnivore,20.723509023399153,0.6000912428559058
Northern Reef,Coral,47,Endemic,Schooling,Shallow,Carnivore,26.227247474690486,0.5679310827184042
Southern Reef,Crab,68,Invasive,Schooling,Shallow,Omnivore,22.878262122668193,0.8940659433784135
Northern Reef,Jellyfish,30,Invasive,Aggressive,Deep,Omnivore,29.323966941575065,0.49086156887192156
Northern Reef,Coral,17,Endemic,Aggressive,Shallow,Herbivore,28.775101277578973,0.8379656995776056
Eastern Reef,Coral,5,Invasive,Aggressive,Reef Crest,Omnivore,29.969597236769165,0.4701638791031397
Northern Reef,Crab,10,Invasive,Aggressive,Reef Crest,Omnivore,29.84726671850589,0.8986729121556574
Western Reef,Coral,22,Endemic,Aggressive,Reef Crest,Carnivore,27.724323731903965,0.6375014327546352
Eastern Reef,Coral,60,Invasive,Aggressive,Shallow,Herbivore,29.04911802101703,0.2583727984162092
Northern Reef,Jellyfish,57,Invasive,Schooling,Deep,Herbivore,26.740074307852982,0.33134216627007873
Western Reef,Jellyfish,41,Invasive,Aggressive,Shallow,Carnivore,27.00230988637317,0.8301542055212962
Northern Reef,Fish,42,Invasive,Solitary,Reef Crest,Omnivore,27.429890763784073,0.2889907803949091
Northern Reef,Jellyfish,96,Invasive,Aggressive,Shallow,Herbivore,24.573720466585513,0.8584046131803456
Northern Reef,Coral,32,Endemic,Schooling,Reef Crest,Omnivore,22.126597320443725,0.634966546480719
Eastern Reef,Jellyfish,62,Invasive,Solitary,Reef Crest,Carnivore,20.408351920931516,0.5219203287296585
Eastern Reef,Jellyfish,26,Invasive,Solitary,Reef Crest,Herbivore,24.36295368487451,0.15228136058297226
Eastern Reef,Fish,5,Invasive,Aggressive,Deep,Carnivore,25.071069599887814,0.41396606180748396
Southern Reef,Jellyfish,18,Endemic,Aggressive,Shallow,Omnivore,25.730815905323283,0.44388603798784076
Northern Reef,Fish,8,Invasive,Schooling,Reef Crest,Herbivore,29.94293023109139,0.6073052408277462
Southern Reef,Crab,66,Invasive,Solitary,Shallow,Carnivore,29.54165323784236,0.6115669421669365
Western Reef,Fish,72,Invasive,Solitary,Shallow,Carnivore,26.152648671367558,0.5275967104514185
Eastern Reef,Fish,46,Endemic,Solitary,Shallow,Omnivore,22.18017136653898,0.5377502224984089
